R105

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      35         35          0          0        230          0   
    1      41         49         10        151        181         10   
    2      35         17          7         40         70         10   
    3      55         45         13        106        136         10   
    4      55         20         19        139        169         10   
    5      15         30         26         24         54         10   
    6      25         30          3         89        119         10   
    7      20         50          5         71        101         10   
    8      10         43          9         85        115         10   
    9      55         60         16         87        117         10   
   10      30         60         16        114        144         10   
